i,url,handle,name,subscribers,videos_count,views,created_date,location,product,discovery_keywords,family,channel_id,score_0_5,reason,other_topic,scored_by,bucket,evidence,description,top_video_titles,links
60,https://www.youtube.com/@%ec%9d%b4%eb%aa%a8%eb%82%98%eb%94%94%ec%9e%90%ec%9d%b8,@%EC%9D%B4%EB%AA%A8%EB%82%98%EB%94%94%EC%9E%90%EC%9D%B8,이모나디자인,28,182,6987,2019-02-18,,,물레,filter:lang,UCFmf1MbBBf_yfoB3dAdA2DA,0,"Korean product simulation video company, '물레' is substring collision, no pottery content.",,sonnet,drop,desc+titles,제품시물레이션홍보영상 제작전문업체,2차 제일타카전체02 20그림자제거1 22 segundos | 2024.02-05 40 segundos | 2024.02-05 31 segundos | 2024.02-04 31 segundos | 2024.02-03 2 minutos y 14 segundos | 2024.02-02 1 minuto y 50 segundos | 2024.02-01 1 minuto y 33 segundos | 09.04 1 minuto y 4 segundos | 09.04 1 minuto y 4 segundos | 09.10 4 minutos y 2 segundos | 2023-06 28 3 minutos y 2 segundos | 고온수기06 03 2 minutos y 9 segundos | tng06.02 1 minuto y 17 segundos | 2022.12 21 3 minutos | 2023.4.10 1 minuto y 53 segundos | 2023.04 1 minuto y 57 segun,kmong.com/gig/146172 | lira75@hanmail.net
61,https://www.youtube.com/channel/uczbkdea-il6doq8lginen7q,@pos0219,풍오섭TV,159,96,56724,2021-11-07,,,물레,filter:lang,UCzbkDEA-IL6doQ8lgInEN7Q,0,"Trot singer channel with '물레방아' in song title, unrelated to pottery.",,sonnet,drop,desc+titles,가수 풍오섭 [동백/물레방아 인생],"가수풍오섭 #동백 (월미도 갈매기 무대공연) 3 minutes, 48 seconds | 가수풍오섭 #동백 (인덕원 붓다마을 정기공연) 3 minutes, 50 seconds | 가수 박연희 복사꽃당신  (김병걸 차차차 창단콘서트) 3 minutes, 49 seconds | 가수 금샛별  동백(원곡 풍오섭) 고유정 가요tv 3 minutes, 39 seconds | 가수풍오섭  태종대의 밤 (원곡 현당) 에이스종합복지센터 정기공연  3 minutes, 33 seconds | 가수풍오섭   동백   (에이스 종합복지센터 정기공연) 3 minutes, 46 seconds | 가수 정선희 #동백(원곡 풍오섭) 정선희 놀러와  3 minutes, 43 seconds | 가수 풍오섭  동백   명작 가요쇼 3 minutes, 44 seconds | 가수 이현희 동백(원곡 풍오섭) 이현희 가요 산책 3 minutes, 38 seconds | 가수 최유영  울엄마 (원곡 진성) 제2회 금천가요제",
62,https://www.youtube.com/@fabclay.studio,@Fabclay.studio,Fabclay Studio | Handcrafted Ceramic Manufacturer,47,84,69694,2026-04-20,,,wheel throwing,filter:technique,UCiNqnRw57d2wuFrSTCWBKnw,4,"Ceramic manufacturer channel showing wheel throwing to glazing/firing process, though shorts emphasize product marketing.",,sonnet,keep,desc+titles,"Welcome to Fabclay Studio — where handcrafted ceramics meet timeless design and modern craftsmanship. We create premium handmade ceramic products including mugs, vases, tableware, dinnerware, hotelware and home décor. Crafted with precision from raw clay to finished art. From wheel throwing and shaping to glazing and firing, this channel takes you inside the complete ceramic-making process. On this channel, you’ll discover: • Satisfying pottery and wheel throwing videos • Behind-the-scenes of handcrafted ceramic production • Glazing techniques and finishing processes • Premium handmade ceramic","Handcrafted ceramics made by skilled artisans, not machines. #shorts #ceramicmanufacturer | Handcrafted ceramics made by skilled artisans, not machines. #shorts #ceramicmanufacturer | Handcrafted ceramics made by skilled artisans, not machines. #shorts #ceramicmanufacturer | Handcrafted ceramics made by skilled artisans, not machines. #shorts #ceramicmanufacturer | Handcrafted ceramics made by skilled artisans, not machines. #shorts #ceramicmanufacturer | Handcrafted ceramics made by skilled art",wa.me/message/MSXXQKHHZOVXL1
63,https://www.youtube.com/@HandcraftedCeramics-v5j/about,@HandcraftedCeramics-v5j,Handcrafted Ceramics,,169,201,2024-10-29,,,wheel throwing,filter:technique,UCf0Cy_lcHbBfSkchT437Ehg,4,"Handmade ceramics channel describing wheel throwing to firing process, though generic marketing tone.",,sonnet,keep,desc,"Welcome to the 【Handcrafted Ceramics】 channel! 🎨🍶 Here, we showcase the unique charm of handmade ceramics, sharing each thoughtfully crafted piece. From wheel throwing to firing, every step highlights the artisan's exquisite skills and passion for ceramics. Our content not only allows you to understand the process of creating ceramics but also provides a relaxing and soothing experience through the creation process, letting you feel the healing power of handmade art! 🧘‍♀️✨ We highly value your feedback, and every comment and like motivates us to keep creating more beautiful ceramic pieces. 💬👍 ",,youtube.com/channel/UCf0Cy_lcHbBfSkchT437Ehg?sub_confirmation=1
64,https://www.youtube.com/@%ec%9e%91%ea%b3%a1%ea%b0%80%ea%b6%8c%eb%85%b8%ed%95%b4%eb%a7%8c,@%EC%9E%91%EA%B3%A1%EA%B0%80%EA%B6%8C%EB%85%B8%ED%95%B4%EB%A7%8C,작곡가 권노해만-장윤정*송가인*정동원 ,44900,1197,7236348,2018-08-01,,,물레,filter:lang,UCMCBoob7-QHxItEclRlkgwQ,0,"Trot composer/performer channel, no pottery content, keyword collision.",,sonnet,drop,desc,"장윤정.송가인.정동원 등의 노래를 작곡하고 임영웅 커버곡 '깎아주세요'와 이찬원.김희재.양지은.전유진 등이 커버한 '당신편'을 작곡한 트로트작곡가 겸 가수, 미술작가, 퍼포먼스아티스트(행위예술가), 연극,MC,아트디렉터,음반프로듀서,아트모델,사진영상 등 다양한 문화예술 분야에서 활동중인 만!능 종합예술인 #권노해만 의 채널입니다. ( 문의사항 = 010-4732-4883 / 카톡 9man ) ◆대표작곡◆ 장윤정-당신편 송가인-월하가약 최수호-월하가약 정동원-육십령 한혜진 - 부는대로 김희재,이찬원-당신편 (사랑의콜센터 PART44) 민지-꽃다운여자 슬리피 - 한방이터질거야 한봄 - 자갈밭 강혜연-만고땡.가슴떨릴때.못견디게 권미희-오늘의운세 안율-별표인생.어린나이.파샤.애평선.할배연가 장송호-암행어사.꽃길만걸어라 전종혁.홍성원.김태수.박정서.송우주 - 유월의바람 서건후-세월택시.물지게.인생사 오강혁-친구야.단한사람 강신비-쑥뿌리.동년동월 강신비.홍성원-직진할거야 재니(Feat.정다한)-게섯거라 효성-치마바위 송별이-사는게다그래요.청보리고향.사랑의물레방아.인생길~ 한태현-볼매사나이 임영웅 커버곡-깎아주세요(단야 원곡) 손태진.김주택-월하가약(한일톱텐쇼) 라포엠-",,cafe.daum.net/myhm | youtube.com/@user-sk8mv3zq2h | blog.naver.com/skandlwps | facebook.com/haeman.kwonno | youtube.com/channel/UCGakC6UplIPnoB0WrAgpEbQ | youtube.com/channel/UCOzz2BvglonWu4ZtR2w6JzA
65,https://www.youtube.com/@duyfwm7942,@duyfwm7942,해외선물에셋10,1020,140,1254637,2017-12-31,,,물레,filter:lang,UCie45osdu06Bxhljtj2oODg,0,"Foreign futures trading channel, hashtag collision with '레전드', no pottery content.",,sonnet,drop,desc,#해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해외선물엄석대 #해외선물한병태 #해선학교 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익,,
66,https://www.youtube.com/@%ea%b5%ac%eb%b9%84%ec%9e%84%eb%8b%a4_%ea%b5%ac%eb%b9%84,@%EA%B5%AC%EB%B9%84%EC%9E%84%EB%8B%A4_%EA%B5%AC%EB%B9%84,구비임다,92,74,26610,2025-07-30,,,물레,filter:lang,UCeEHC95fsW6JpDwiBwgB5Ew,0,"Gaming/Roblox channel, '시물레이터' substring collision, no pottery content.",,sonnet,drop,desc+titles,"주로 배틀브릭 올리는 채널 아니면 추억의 게임들(예:피자가게 자연재해 서바이벌 51구역) 그리고 유튜버를 얼마나 아시나요 올림 영상 업로드 시간:매일(1일 1영) (거의 1시 업로드) (쇼츠는 매일 업로드)(1일 1영아니고 1일 2영일수도 있고 아플때에는 낫기전까지 업로드 없음 아이디어나 만들 게 없을때는 1일 0영이다 근데 1일 1영이라 해놓고선 한 두달 걸려서 영상올린다. 이유:포세이큰과 로블록스에 있는 그외의 게임들때문에) Q&A: 구독자 100명,500명,1000명, 3000명, 10000명 때 할예정 주제영상:프나펑 한글자막 영상,로블록스,(공포게임,예:레인보우 프렌즈,도어즈,프레셔,미믹등등)그외:배틀브릭,포세이큰,다오데(다이오브데스),타디시(타워 디펜스 시물레이터) 게임플레이영상이 아닌영상:다오데 OST모음,포세이큰 OST모음,배틀브릭 노래(보스전 노래나 일반스테이지들) 규칙:1.타 유튜버 언급금지(유튜버를 얼마나아시나요 제외 모든영상에서 타유튜버 언급금지) 2.실력 놀리지않기.(예 내가더 잘함 겁나못하노 이러지않기.) 3.악플 달지않기 4.빠놀이 금지 5.구독자,시청자,좋어요수 가지고 놀리지않기.(예:구독자 적은 사람이나 조회수 낮고 영상좋아요도","포세이큰 순교자 1x스킨 리뷰!!!!!!!!!! 1 minute, 56 seconds | 베틀브릭 미스터 맨서 3분 21초컷 3 minutes, 37 seconds | 배틀브릭 셀레브레이션 ?분 ?초컷 2 minutes, 46 seconds | 배틀브릭 생일 배틀러 23초컷 36 seconds | 배틀브릭 엑섹 브금 6 minutes, 52 seconds | 추억의 survive area 51 2편!!!! 4 minutes, 22 seconds | 추억의 survive area 51!! 11 minutes, 29 seconds | 배틀브릭 영면자 2분 17초컷 2 minutes, 31 seconds | 배틀브릭 소울퓨즈 2분 29초컷 2 minutes, 44 seconds | 배틀 브릭 카탈로그 머핀 2분 48초컷 3 minutes, 4 seconds | 배틀브릭 불안 브금 4 minutes, 30 seconds | 배틀브릭 인페르누스 9분 16초컷 9 minutes, 35 seco",discord.gg/nM4JekUP6 | open.kakao.com/o/pbptxcti
67,https://www.youtube.com/channel/uc7dckj-bknbb2qtpjx4hzdq,@ThrowWithUsDMs,Throw With Us DMs,61,85,14471,2011-10-08,,,pottery wheel,filter:tool,UC7dckJ-BKnBB2QtpjX4hzDQ,3,"Hobbyist channel documenting new pottery wheel attempts and kiln openings, learning-stage content.",,sonnet,gray,desc+titles,"Come with us while we try, fail, and try again on our new pottery wheel! We talk a bunch about TTRPGs so come throw with us!","Kiln Opening ASMR - I Love the Sound of the Tiles! 11 minutes, 15 seconds | Day 2 of setup in Cleveland Ohio 2 minutes, 26 seconds | Day 1 of setup in Cleveland Ohio 2 minutes, 27 seconds",topnotchceramictrees.com | rollwithusdms.com
68,https://www.youtube.com/@sarahhallamceramics74,@SarahHallamCeramics74,Sarah Hallam Ceramics (Stokie Potter),1140,154,138028,2025-02-19,,,wheel throwing,filter:technique,UCV0aepAGKMkdvBlN3saNNKw,4,UK potter's channel focused on ceramics/glaze chemistry with beginner-friendly wheel-adjacent videos.,,sonnet,keep,desc,"🍯 Sarah the Stokie Potter | Ceramics & Glaze Chemistry Welcome! I’m Sarah the Stokie Potter, making vibrant pottery in my home studio in Stoke-on-Trent, Staffordshire (UK)—the historic home of the Potteries and The Great Pottery Throw Down. Join me for relaxed, beginner-friendly videos as I share my passion for all things clay and glaze. This channel follows my creative journey through the world of ceramics, focusing on colour, technique, and experimentation. 🌀 What to Expect: Wheel Throwing & Hand-building: Practical tips and techniques. Glaze Alongs: Testing Amaco, Spectrum, and as many othe",,instagram.com/sarahhallamceramics | tiktok.com/sarahhallamceramics | facebook.com/profile.php?id=61564447360834 | sarahhallamceramics.co.uk
69,https://www.youtube.com/@michellelovespottery,@MichelleLovesPottery,Michelle (MLP),144,63,134569,2025-09-11,,,wheel throwing,filter:technique,UC2RJtEJ-eFD3T_ZNca3qEbw,5,"Titles show full trimming and throwing sessions for custom mugs, clear wheel-throwing process content.",,sonnet,keep,desc+titles,"Hi! I'm Michelle and I love pottery! I'm a solo entrepreneur making handmade pottery with a cozy treehouse vibe in my home studio in Maryland. To keep myself from going feral, I make skits covering pottery topics like wheel throwing, hand building, glazing, shipping, selling -- any and all things related to running my pottery business, MLP Pottery. And to keep things interesting, I get help from my studio pals, Pots and Paints. Stick around for some lighthearted entertainment that might sneakily teach you a thing or two about pottery.","Making The Great North family mugs: Trimming Aunt Dirt's, Beef's, and Honeybee's mugs 8 minutes, 7 seconds | Making The Great North family's mugs: Throwing Moon's mug 10 minutes, 17 seconds | Making The Great North family's mugs: Throwing Judy's mug 12 minutes, 38 seconds | Making The Great North family's mugs: Throwing Ham's mug 14 minutes, 43 seconds | Making The Great North family's mugs: Throwing Honeybee's mug 15 minutes | Making The Great North family's mugs: Throwing Wolf's mug 6 minutes,",mlppottery.etsy.com | mlppottery.com | instagram.com/michellelovespottery
70,https://www.youtube.com/@ceramicraft,@Ceramicraft,Ceramicraft,4060,192,1025963,2017-10-25,,,pottery wheel,filter:tool,UCke8VQqz6L-ZU0m5K7_5T0w,2,Sublimation/vinyl craft channel mentioning pottery wheels only as one of many product tools/topics.,,sonnet,drop,desc,"Ceramicraft – Your Creative Partner in Pottery, Sublimation and Vinyl! Subscribe to stay updated We’re here to help makers, artists, and small businesses bring their ideas to life through sublimation and ceramic craftsmanship. Step-by-step sublimation tutorials for mugs, blanks, and more Tips for using heat presses, ovens, and sublimation printers Guides to setting up and using kilns, pottery wheels, and studio tools Product spotlights and troubleshooting advice Behind-the-scenes insights from industry experts We’re a trusted Australian supplier of sublimation blanks, ceramic materials, kilns,",,ceramicraft.com.au
71,https://www.youtube.com/@artbyokanemi,@ArtByOkanemi,Okanemi Ceramics,177,96,87862,2015-06-12,,,wheel throwing,filter:technique,UCzQG3JVALbKvbaqhiBtIhBg,5,Titles show ceramic wheel throwing tutorials and full vase-making sessions from LA-based ceramicist.,,sonnet,keep,desc+titles,"I’m a poetic ceramicist from Los Angeles, who’s inspired by love, life and the possibilities between. My channel comprises of ceramic wheel throwing, tutorial demonstrations and some behind the scenes work for accomplishing finished works.","Ceramic wheel throwing for beginners.  5 minutes, 1 second | Let’s make another vase #ceramics #clayart #clay #pottery 20 minutes | Let’s create something (full video) 18 minutes | When making vases goes right 17 minutes | Let’s make a functional pot 20 minutes | Wheel throwing outside is better. Let’s marble a mini vase. #ceramics #clay #pottery #wheelthrowing 18 minutes | Come throw a vase with me. #ceramics #artist #clay #claying #pottery #wheelthrowing #handmade 24 minutes | Wheel throwing #",okanemi.com | instagram.com/okanemi_ | facebook.com/okanemi | tiktok.com/@okanemi_ | etsy.com/shop/Okanemi | artsteps.com/view/6543f442b04c140f1a5f026d
72,https://www.youtube.com/@epicai,@EpiCai,Geo Tjakra,16200,2648,22611107,2006-08-20,,,wheel throwing | pottery wheel,filter:technique,UCuZ2x-wDFRPdzlaANaeT83A,3,"MFA ceramicist covering wheel throwing among broader craft/design curriculum, mixed content likely.",,sonnet,gray,desc,"Geoffrey/ Jeffrey Tjakra 蔡也亮(Cai Ye Liang) a.k.a. king ePicAi on YT since 2006 MFA studio arts Ceramics 2007, California State University Los Angeles. BFA studio arts Sculpture 1994, Rutgers University, MGSA, NJ @Pelangi_12 UPH lv, Faculty of Design, ig: @fd.uph @interior.uph @vcd.uph @produkdesain.uph since 2014 SDD 1&2 (elements & principles of design, Nirmana, wood, metal fabrication, plastics, resin &, silicon rubber mould) Kriya/craft (leather), ceramics (handbuilding, pottery wheel throwing skills), mold making and slip casting, glazes development. A multidisciplinary artist known for hi",,facebook.com/album.php?fbid=1757882950691&id=1347537734&aid=100524 | pinterest.com/geotjakra/ocarinas-xuns-and-flutes-for-sale | soundcloud.com/geoffrey-tjakra | geotjakra.deviantart.com/art/Prayer-By
73,https://www.youtube.com/@tofiksumra0,@tofiksumra0,THE POTTERY TV,2370,370,3707980,2021-02-11,,,wheel throwing,filter:technique,UC4MMy_swlxJe45k9yNJUbQg,4,Hindi-language pottery channel promising step-by-step wheel throwing and hand-building tutorials.,,sonnet,keep,desc,"​🏺 The Pottery TV – Where Clay Meets Creativity! ​Swagat hai The Pottery TV par! Agar aapko mitti se nayi-nayi cheezein banana pasand hai ya aap pottery ki kala ko bilkul shuruat se seekhna chahte hain, toh aap sahi jagah aaye hain. ​Is channel par hum mitti (clay) ko ek naya roop dete hain aur aapko sikhate hain pottery ke har ek bariki ko. ​Aapko yahan kya dekhne ko milega? ​✅ Step-by-Step Tutorials: Wheel throwing aur hand-building ki basic se advanced techniques. ​✅ DIY Clay Projects: Ghar par baith kar banayein khoobsurat decorative items. ​✅ Glazing & Firing: Seekhiye pottery ko finish a",,
74,https://www.youtube.com/@alissaclayton827,@alissaclayton827,"Clayton, Alissa",1780,112,141359,2017-04-10,,,wheel throwing | trimming pottery,filter:technique,UCFAdhlCQvwbOWNgGyZBbImA,4,"School ceramics demo channel showing wheel throwing (centering, bowls) and trimming techniques.",,sonnet,keep,desc,"Millville Senior High School Ceramic Demos: Student and Teacher Made Daily Demos for Remote Learning Demonstrations on wheel throwing (centering clay, creating bowls, vases, and mugs). Trimming pottery with different style feet. Hope you enjoy our learning and teaching process.",,
75,https://www.youtube.com/@rd-vt3pl,@RD-vt3pl,NCN 재능기부 생산 R&D 품질대통령상멘토 ,31,132,11133,2019-02-23,,,물레,filter:lang,UCFcjJUQi4fJzqJSxkbsCqIQ,0,"R&D quality management consulting channel, '시물레이션' collision, unrelated to pottery.",,sonnet,drop,desc+titles,- 고경력인사의 경험과 지혜를 중소벤처기업을 대상으로 재능기부 하므로써 - O 2022년까지 6년간 60여개 중소기업의 비용절감 평균 4천만원 달성하였으며 O 전국품질경진대회 12개기업을 대통령상 받도록 코칭 함 - 시물레이션기반으로 통계적 방법을 통해 비용이 들지않는 솔루션 제공 - 1 공정조건 및 작업 조건을 변경만으로 최적조건 솔루션제시 2 기술개발시 최소실험 20회 정도만하여 숄루션을 찾아내어 개발기간 단축은 물론 비용절감 기술개발사업 성공여부 판단 등 3 품질전국대회 대통령상 수상토록 자문 및 코칭 등 - 적용사업대상은 공정조건과 작업조건이 있는 - 1 모든 제조산업 2 스마트팜사업 등의 생물 성장 산업 3 식품 화장품 등 산업 4 환경산업 5 자원 재활용 산업 등 또한 - 고경력전문인사의 재능기부를 격려하며 - - 디지털시대의 접근성 - 시공간성과 색채감 인지성 - 자연의 아름다움 조화로움 다양성 향상을 증진시키기 위해 본 유튜브를 만들어 활용코지 한다 010 7121 5288 로 재능기부 혜택을 받을 수있도록 소통 요망,"LG의 노봇산업의 습격 1 minute, 29 seconds | 곤충들의 향연 무당벌레 등 4개의 곤충등장 2 minutes, 4 seconds | 전립선 건강(1) 과 예방 7 minutes, 52 seconds | 26년 새해 인사 9 seconds | 26년 丙午年 새해 인사 14 seconds | 폐 (암) 질환 치료의 새로운 파라다임, 놀라운 비타민C 효능, 폐 섬유화 강력한 억제 1 minute, 43 seconds | QR&D 노래 및 로고 동영상으로 소개 2 minutes, 8 seconds | (8분) 지구를 지키는 4총사는 누구 일까요? 8 minutes, 22 seconds | (6분) 에너지가 뭐예요? 에너지 마법의 세게 6 minutes, 24 seconds | 에너지에 대한 한 말씀! 1 minute, 3 seconds | 재미있고 간편한 동영상 모음1 1 minute, 24 seconds | 뇌 건강과 걷기 6 minutes, 38 seconds | 울산대",
76,https://www.youtube.com/@world_gameland,@World_Gameland,DJ에잇뚜쉬,49,137,27303,2022-01-01,,,물레,filter:lang,UCs4tKQWDpJyfeTdJME8Q_Yw,0,"Truck/flight simulator gaming channel, keyword collision only, no pottery content.",,sonnet,drop,desc+titles,안녕하세요 Euro Truck Simulator 2 유로트럭2 게임을 즐기고 있는 가상물류회사 KOREA EXPRESS TEAM 코리아 익스프레스팀 리더 DJ에잇뚜쉬 입니다. 저희 KOREA EXPRESS TEAM 시물레이터 게임 및 스팀게임을 주로 하고 있으며 Microsoft Flight Simulator 플라이트 시물레이터 및 각종 게임을 모여서 소통하며 즐기는 팀입니다 유로트럭 시물레이터2 및 플라이트 시물레이터 누구나 참여가 가능하며 각종 게임도 참여가 가능합니다 각동 게임을 잘하거나 멋있게 하는편은 아닙니다 즐겜 유저입니다 부족한 영상이지만 즐겁게 봐 주시고 팀 가입을 희망하시는분들은 댓글 남겨주세요 그럼 오늘도 즐거운 만남을 위해 화이팅^^ 그럼 오늘도 행복한 하루 되세요^^ 코리아 익스프레스팀 유로트럭2 멀티 운행방송 아프리카티비 매주 수요일 금요일 밤 9시에 방송 ON 합니다 아프리카티비 주소 링크 https://bj.afreecatv.com/kh2565 ▶ 건강을 위해 롤러스케이트 및 바이크로 운동하는 영상도 업로드 하고 있습니다 유튜브 채널명 롤킹초이 Rollking Choi 구독 좋아요 부탁드립니다 ▶ roller skating exer,"Yakuza 5 Remastered [ EP 5 ] - Final part 3 / Gameplay [ 용과같이 5 리마스터 꿈을 이루는 자 ] 영화같은 스토리 최고 1 hour, 9 minutes | Euro Truck Simulator 2 | 2021.12.22 #17 | IBERIA Multi Driving Server 2 Euro Tour KOREA EXPRESS TEAM 55 minutes | DIABLO Ⅳ 23.07.05 #04 디아블로4 처음으로 잡아보는 초보 즐겜유저들의 월드보스 사냥 닥치고 막사냥 디아4 즐기기 #디아블로4 #즐겜유저 3 minutes, 46 seconds | Yakuza 5 Remastered [ EP 5 ] - Final part 2 / Gameplay [ 용과같이 5 리마스터 꿈을 이루는 자 ] 영화같은 스토리 최고 52 minutes | Euro Truck Simulator 2 | 2021.12.15 #16 | IBERIA Multi Drivi",bj.afreecatv.com/kh2565 | youtube.com/channel/UCE58Ifis621V71Ax-rO7SfA | instagram.com/rollking_choi
77,https://www.youtube.com/@sammayell,@sammayell,Sam Mayell,125,54,69180,2010-02-20,,,wheel throwing,filter:technique,UCWQ05K0LGKabHTPqbSsCPQA,5,"Dedicated wheel throwing pottery channel producing mugs, vases and stoneware pieces weekly.",,sonnet,keep,desc,"Wheel throwing pottery tutorials and regular videos on all things ceramics. I produce travel cups, vases, mugs, spoon rests, wall plates and other ceramic stoneware pieces on a weekly basis in my little pottery studio.",,sammayell.com
78,https://www.youtube.com/channel/ucilqdk8alijemyzvzb8ynfq,@claire-yb4yp,Anthony's Magic Art,222,100,50503,2013-01-05,,,물레,filter:lang,UCILQdK8aLIJEmyzvZB8YNFQ,0,"Roblox gaming channel with piano content, '시물레이터' collision, unrelated to pottery.",,sonnet,drop,desc+titles,"#로블록스#게임#힐링#피아노#창작시#game#roblox#piano * 업로드 시간 * 아기곰: 일.(14:00~14:30) 아기곰피아노: 토 or 일 (오후쯤) *녹화 프로그램* 노트북: 녹화:OBS-화질:1080p 방송:OBS-화질:720p 태블릿: 녹화:화면 녹화-화질:1080p48 [비즈니스 문의]:jungjy2602@naver.com * 로블록스 캐릭터 저작권은 아기곰에게 있으며, 사칭,캐릭터 무단복제시 채널 차단을 당할 수 있습니다. * * 폭력적인 댓글/욕설/비하/동영상욕은 채널 차단+아이디 영구 숨기를당할 수 있습니다. * 로블록스 온라인 게임으로 재밌는 점프맵, 캐빈크루 시물레이터, 열차, 피아노로 재밌는 콘텐츠를 만들고 있어요!😊] 구독하시면 일요일 마다 재밌는 영상을 만나보실 수 있어요!","[OpenBVE] 서울 지하철 5호선 4차분 방화 → 여의나루 운전 40 minutes | 아기곰 로블록스[둥굴부대 레이더로 플레이] 28 minutes | (시청자 요청) 아기곰 로블록스[배드워즈 초보의 배드워즈 간단한 2판] 15 minutes | (🎮설날특집🎮) 아기곰 로블록스[프로젝트 비행 | 얼리 액세스 프리 알파(50로벅) 보잉 787/korea Air] 26 minutes | 아기곰 로블록스[Og's Difficulty Chart,병원 타이쿤] 40 minutes | (오토스나) 아기곰 로블록스[라이벌 2v2대결!] 27 minutes | Anthony's 모바일게임[그래니3 기차엔딩] 17 minutes | (🎄크리스마스 특집+최초공개) 아기곰 모바일게임[주차의 달인 1~24스테이지] 27 minutes | (안내방송 음원) 아기곰 로블록스[싱가포르 MRT: 노스 이스트 라인/HarbourFront~Punggol Coast] 37 minutes | 아기곰 동영상(진에어",roblox.com/ko/users/4299733063/profile | roblox.com/ko/users/4220922985/profile | m.blog.naver.com/herbchocolate | m.blog.naver.com/jungjy2602
79,https://www.youtube.com/@tinypotsmelbourne,@tinypotsmelbourne,Tiny Pots Melbourne,582,119,179825,2020-09-19,,,pottery wheel,filter:tool,UCGqVMKNnGLjqPj7mAsy3MTw,4,Miniature pottery channel showing wheel throwing tutorials and mini-wheel pot making on camera.,,sonnet,keep,desc+titles,"Miniature pottery by Hamish Bassett. Ceramicist from Melbourne, Australia who loves to make tiny ceramic pots on a tiny pottery wheel. Follow my journey and watch as I make tiny pots.","My Favourite Miniature Pottery Tools 8 minutes, 48 seconds | A Beginner's Guide to Making Miniature Pottery on a Miniature Wheel 11 minutes, 56 seconds | Mini Pots on a Mini Pottery Wheel - Pot No.4 2 minutes, 55 seconds | Making Tiny Pots on a Mini Pottery Wheel - Pot No. 3 3 minutes, 7 seconds | TINY POT NO. 2 - Making Mini Pottery on a mini pottery wheel 4 minutes | TINY POT NO. 1 - Making Mini Pottery on a mini pottery wheel 2 minutes, 58 seconds",tinypotsmelbourne.com | instagram.com/tinypotsmelbourne
80,https://www.youtube.com/channel/ucrcx-wvadapsknstaapvpua,@%EA%B1%B8%EC%9A%94,딸기서율♡,353,131,80290,2022-05-26,,,물레,filter:lang,UCRcX-wvadApSKnstAaPvpUA,0,"Child gaming vlog channel, '시물레이션' mention unrelated, no pottery content.",,sonnet,drop,desc+titles,me 자기소개!!!!!! 이름:@서율 나이:11살 성별:여성 몸무계:겠냐고여(?) 꿈:성우랑 화가가 꿈입니다! 좋아하는 음식:소금빵쓰 싫어하는 음식:몰루 좋아하는 겜:포세이큰 99일 라이벌 싫어하는겜:별로 없지만 시물레이션 겜을 별로 안좋아합니다 끝! 마지막 말:감사합니다!,"코리안베이컨이랑 더 미믹 하기 ㅠㅠ 16 minutes | 협동게임2 1화 38 seconds | 협동♥💙 1 minute, 18 seconds | 에레레레 13 minutes, 2 seconds | 조금만 편집 함 8 minutes, 11 seconds | 햄찌랑 게임하기 2탄! 7 minutes, 58 seconds | 햄찌랑 게임하기 1탄! 8 minutes, 38 seconds | 꾸몄습니다 아바타 (유트브 프로필 또 저 바꾼 아바타로 바꿀 거예요!) 7 minutes, 41 seconds | 햄찌 너무 귀여워!!!!!!!! 3 minutes, 25 seconds | 햄찌님과 로블! 4 minutes, 27 seconds | 옛날 아바타! 공개!! 1 minute, 42 seconds | 오늘은 영상 빠르게 올릴게! ♥♥♥ 1 minute, 8 seconds | 오늘은 손목 아프는 타월를 할 겁니당~~ 1 minute, 8 seconds | 오늘은 두 개의 게임을 할 예정입니",
81,https://www.youtube.com/@jlpotteryottawa,@JLPotteryOttawa,JL Pottery Ottawa,103,141,124601,2024-12-19,,,pottery wheel,filter:tool,UC3ZNBkZ5_gZmSsDtx70iAjA,1,"Pottery decor/retail channel selling ghost figurine tea lights, no wheel-throwing process shown.",,sonnet,drop,desc,"Perfect for those who love quirky decor or enjoy a touch of spooky fun, these unique tea light figurines are a gift that truly stands out and will become a cherished, whimsical treasure for years to come. Just place your tea light inside, and watch as this friendly ghost lights up your room with cozy, spectral magic. Whether you’re decorating for Halloween, or simply love quirky home decor, Whimsy the Ghost is the ghostly companion you didn’t know you needed—but definitely want! These little ceramic figurines were created in my small home studio. Each piece began on the pottery wheel, then was",,sites.google.com/view/jl-pottery-ottawa | facebook.com/profile.php?id=100088357418469 | instagram.com/jlpotteryottawa | tiktok.com/@jlpotteryottawa?_t=8nTKkHwqejV&_r=1 | jlpotteryottawa.etsy.com
